Sentence,Original emoji,output emoji
"eat then, idiot.","[':cooking:', ':pouting_face:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Loving you and having you  is  the most successful achievement in life ♥️✨,"[':red_heart:', ':man:', ':backhand_index_pointing_right:', ':man:', ':party_popper:']", 😍 😴 🌞 😴 🌞 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Imagine not being arab 💀💀😭,"[':thinking_face:', ':cross_mark:', ':man:']", 😍 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I’m going to a concert tonight and I’m so nervous🤩,"[':musical_note:', ':first_quarter_moon_face:', ':smiling_face_with_heart-eyes:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
gatekeeping painting…..,"[':eyes:', ':church:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Not if I see you in water,"[':cross_mark:', ':eyes:', ':man:', ':sweat_droplets:']", 😍 🥰 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
yowdi i smell small chismis.,"[':man:', ':face_vomiting:']", 😍 😴 🌞 😴 🌞 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
A lot of them niggas🤧,[':pouting_face:'], 😍 😴 👉 👉 👉 👉 👉 👉 👉 👉 👉 👉 👉 👉 👉 👉 👉 👉 👉
jeez,[':party_popper:'], 😍 😴 👉 👉 👉 👉 💬 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
This panther needs Calcium Chloride!,"[':man:', ':briefcase:', ':syringe:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
feeling so restless,"[':face_vomiting:', ':cross_mark:', ':first_quarter_moon_face:']", 😍 😴 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Mayday ft ____ &amp; _____ - !?  Landing August 10th  🚀🚀🌪🌪  Superrrr gassed for this month 🌛,"[':waving_hand:', ':fire:', ':thumbs_up:', ':first_quarter_moon_face:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
am I a she/they or a they/them. I guess we will never know,"[':man:', ':woman:', ':thinking_face:', ':person_facepalming:']", 😍 🥰 👉 🌞 👉 🌞 😴 👉 🌞 🌞 😴 😴 🌞 🌞 🌞 😴 😴 😴 😴
That's major improvement,[':thumbs_up:'], 😍 😴 😍 👉 👉 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I love being out in public and getting compliments from other members of the alphabet mafia :3,"[':man:', ':red_heart:', ':church:', ':pouting_face:', ':speech_balloon:']", 😍 😴 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Called it,[':OK_hand:'], 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"I'm like ""when can we schedule your euthanasia?""","[':thinking_face:', ':alarm_clock:', ':calendar:']", 😍 😴 🌞 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I need like 3days rest to recover from this past weekend's stress. Back don nearly break.,"[':backhand_index_pointing_right:', ':sleeping_face:', ':face_with_medical_mask:']", 😍 😴 🌞 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
